pecahan,hog_feature
10,[0.         0.         0.         ... 0.09195262 0.05076643 0.04000105]
10,[0.25793872 0.01841267 0.03493557 ... 0.16642052 0.04910177 0.        ]
10,[0.17911126 0.         0.         ... 0.01771773 0.         0.        ]
10,[0.02026721 0.00692681 0.00480288 ... 0.01432264 0.         0.        ]
10,[0.28987533 0.02725925 0.06896105 ... 0.0977684  0.0180812  0.        ]
100,[0.         0.         0.         ... 0.16581477 0.         0.        ]
100,[0.37123709 0.         0.21000341 ... 0.         0.         0.        ]
100,[0.32923971 0.         0.16721227 ... 0.20300744 0.         0.        ]
100,[0.36253627 0.         0.17689958 ... 0.27735009 0.         0.        ]
100,[0.42784442 0.         0.         ... 0.04934678 0.         0.        ]
20,[0.06210492 0.05783922 0.04391481 ... 0.06675918 0.         0.00815858]
20,[0.33242741 0.01486661 0.         ... 0.00968879 0.00765966 0.        ]
20,[0.0611779  0.02253539 0.10491076 ... 0.16935659 0.07300916 0.09324689]
20,[0.12449079 0.         0.17605654 ... 0.02324532 0.         0.01039562]
20,[0.30168809 0.         0.06768101 ... 0.25193271 0.14893999 0.11179252]
200,[0.         0.         0.         ... 0.02067268 0.01634319 0.25908694]
200,[0.32655628 0.         0.16332351 ... 0.         0.         0.        ]
200,[0. 0. 0. ... 0. 0. 0.]
200,[0.35772373 0.         0.34204444 ... 0.         0.         0.        ]
200,[0. 0. 0. ... 0. 0. 0.]
5,[0.1215498  0.04583503 0.21279285 ... 0.18872536 0.25725193 0.16369063]
5,[0.34123896 0.03806097 0.04814375 ... 0.07151942 0.         0.03998057]
5,[0.30851194 0.07168867 0.06374227 ... 0.11354134 0.07396019 0.02401159]
5,[0.2726233  0.02567091 0.21106417 ... 0.27207617 0.0345942  0.        ]
5,[0.10335194 0.17249791 0.07411463 ... 0.         0.         0.        ]
50,[0.06284585 0.05621104 0.19553039 ... 0.16174423 0.02947984 0.03218837]
50,[0.0865772  0.01197805 0.04545349 ... 0.0900223  0.03163061 0.0653885 ]
50,[0.05342326 0.02171964 0.05553095 ... 0.17801462 0.0598916  0.01750947]
50,[0.06468662 0.         0.         ... 0.04468007 0.         0.        ]
50,[0.12397299 0.05770134 0.05501345 ... 0.         0.         0.        ]
